Chapter,Genesis,Exodus,Leviticus,Numbers,Deuteronomy,Joshua,Judges,Ruth,1 Samuel,2 Samuel,1 Kings,2 Kings,1 Chronicles,2 Chronicles,Ezra,Nehemiah,Esther,Job,Psalms,Proverbs,Ecclesiastes,Song of Solomon,Isaiah,Jeremiah,Lamentations,Ezekiel,Daniel,Hosea,Joel,Amos,Obadiah,Jonah,Micah,Nahum,Habakkuk,Zephaniah,Haggai,Zechariah,Malachi,Matthew,Mark,Luke,John,Acts,Romans,1 Corinthians,2 Corinthians,Galatians,Ephesians,Philippians,Colossians,1 Thessalonians,2 Thessalonians,1 Timothy,2 Timothy,Titus,Philemon,Hebrews,James,1 Peter,2 Peter,1 John,2 John,3 John,Jude,Revelation
1,31,22,17,54,46,18,36,22,28,27,53,18,54,17,11,11,22,22,6,33,18,17,31,19,22,28,21,11,20,15,21,17,16,13,17,18,23,21,14,25,45,80,51,26,32,31,24,24,23,30,29,10,12,20,18,16,25,14,27,25,21,10,13,15,25,20
2,25,25,16,34,37,24,23,23,36,32,46,25,55,18,70,20,23,13,12,22,26,17,22,37,22,10,49,23,32,16,0,10,13,19,20,15,0,13,17,23,28,52,25,47,29,16,17,21,22,30,23,20,17,15,26,15,0,18,26,25,22,29,0,0,0,29
3,24,22,17,51,29,17,31,18,21,39,28,27,24,17,13,32,15,26,8,35,22,11,26,25,66,27,30,5,21,15,0,10,12,0,19,20,0,10,18,17,35,38,36,26,31,23,18,29,21,21,25,13,18,16,17,15,0,19,18,22,18,24,0,0,0,22
4,26,31,35,49,49,24,24,22,22,12,34,44,43,22,24,23,17,21,8,27,16,16,6,31,22,17,37,19,0,13,0,11,13,0,0,0,0,14,6,25,41,44,54,37,25,21,18,31,32,23,18,18,0,16,22,0,0,16,17,19,0,21,0,0,0,11
5,32,23,19,31,33,15,31,0,12,25,18,27,26,14,17,19,14,27,12,23,20,16,30,31,22,17,31,15,0,27,0,0,15,0,0,0,0,11,0,48,43,39,47,42,21,13,21,26,33,0,0,28,0,25,0,0,0,14,20,14,0,21,0,0,0,14
6,22,30,30,27,25,27,40,0,21,23,38,33,81,42,22,19,14,30,10,35,12,13,13,30,0,14,28,11,0,14,0,0,16,0,0,0,0,15,0,34,56,49,71,15,23,20,18,18,24,0,0,0,0,21,0,0,0,20,0,0,0,0,0,0,0,17
7,24,25,38,89,26,26,25,0,17,29,51,20,40,22,28,73,10,21,17,27,29,13,25,34,0,27,28,16,0,17,0,0,20,0,0,0,0,14,0,29,37,50,53,60,25,40,16,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17
8,22,32,36,26,20,35,35,0,22,18,66,29,40,18,36,18,17,22,9,36,17,14,22,22,0,18,27,14,0,14,0,0,0,0,0,0,0,23,0,34,38,56,59,40,39,13,24,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
9,29,35,24,23,29,27,57,0,27,13,28,37,44,31,15,38,32,35,20,18,18,0,21,26,0,11,27,17,0,15,0,0,0,0,0,0,0,17,0,38,50,62,41,43,33,27,15,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,21
10,32,29,20,36,22,43,18,0,27,19,29,36,14,19,44,39,3,22,18,32,20,0,34,25,0,22,21,15,0,0,0,0,0,0,0,0,0,12,0,42,52,42,42,48,21,33,18,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,11
11,32,10,47,35,32,23,40,0,15,27,43,21,47,23,0,36,0,20,7,31,10,0,16,23,0,25,45,12,0,0,0,0,0,0,0,0,0,17,0,30,33,54,57,30,36,34,33,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,19
12,20,51,8,16,32,24,15,0,25,31,33,21,40,16,0,47,0,25,8,28,14,0,6,17,0,28,13,14,0,0,0,0,0,0,0,0,0,14,0,50,44,59,50,25,21,31,21,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,17
13,18,22,59,33,18,33,25,0,23,39,34,25,14,22,0,31,0,28,6,25,0,0,22,27,0,23,0,16,0,0,0,0,0,0,0,0,0,9,0,58,37,35,38,52,14,13,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,18
14,24,31,57,45,29,15,20,0,52,33,31,29,17,15,0,0,0,22,7,35,0,0,32,22,0,23,0,9,0,0,0,0,0,0,0,0,0,21,0,36,72,35,31,28,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
15,21,27,33,41,23,63,20,0,35,37,34,38,29,19,0,0,0,35,5,33,0,0,9,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,39,47,32,27,41,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,16,36,34,50,22,10,31,0,23,23,34,20,43,14,0,0,0,22,11,33,0,0,14,21,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,31,33,40,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
17,27,16,16,13,20,18,13,0,58,29,24,41,27,19,0,0,0,16,15,28,0,0,14,27,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,37,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
18,33,27,30,32,22,28,31,0,30,33,46,37,17,34,0,0,0,21,50,24,0,0,7,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,43,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
19,38,25,37,22,21,51,30,0,24,43,21,37,19,11,0,0,0,29,14,29,0,0,25,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,48,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
20,18,26,27,29,20,9,48,0,42,26,43,21,8,37,0,0,0,29,9,30,0,0,6,18,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,47,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
21,34,36,24,35,23,45,25,0,15,22,29,26,30,20,0,0,0,34,13,31,0,0,17,14,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,38,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
22,24,31,33,41,30,34,0,0,23,51,53,20,19,12,0,0,0,30,31,29,0,0,25,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,71,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
23,20,33,44,30,25,16,0,0,29,39,0,37,32,21,0,0,0,17,6,35,0,0,18,40,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,56,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,67,18,23,25,22,33,0,0,22,25,0,20,31,27,0,0,0,25,10,34,0,0,23,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,53,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,34,40,55,18,19,0,0,0,44,0,0,30,31,28,0,0,0,6,22,28,0,0,12,38,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,35,37,46,65,19,0,0,0,25,0,0,0,32,23,0,0,0,14,12,28,0,0,21,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,46,21,34,23,26,0,0,0,12,0,0,0,34,9,0,0,0,23,14,27,0,0,13,22,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,22,43,0,31,68,0,0,0,25,0,0,0,21,27,0,0,0,28,9,28,0,0,29,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,35,46,0,40,29,0,0,0,11,0,0,0,30,36,0,0,0,25,11,27,0,0,24,32,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,43,38,0,16,20,0,0,0,31,0,0,0,0,27,0,0,0,31,12,33,0,0,33,24,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,55,18,0,54,30,0,0,0,13,0,0,0,0,21,0,0,0,40,24,31,0,0,9,40,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,35,0,42,52,0,0,0,0,0,0,0,0,33,0,0,0,22,11,0,0,0,20,44,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,20,23,0,56,29,0,0,0,0,0,0,0,0,25,0,0,0,33,22,0,0,0,24,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,31,35,0,29,12,0,0,0,0,0,0,0,0,33,0,0,0,37,22,0,0,0,17,22,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,29,35,0,34,0,0,0,0,0,0,0,0,0,27,0,0,0,16,28,0,0,0,10,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,43,38,0,13,0,0,0,0,0,0,0,0,0,23,0,0,0,33,12,0,0,0,22,32,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,0,0,38,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,0,0,0,22,28,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,23,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,0,0,0,8,18,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,0,0,31,16,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,0,0,0,29,18,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,0,25,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,28,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,25,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,28,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,22,47,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,26,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,23,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
